time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-14T11:50:51.720Z,40.3436667,-124.2296667,28.49,2.67,md,19,84,0.04812,0.11,nc,nc73121390,2018-12-18T07:02:02.584Z,"5km ENE of Petrolia, CA",earthquake,0.66,0.93,0.127,33,reviewed,nc,nc
2018-12-13T11:32:47.200Z,40.4273333,-124.3801667,28.67,2.94,md,18,228,0.05816,0.11,nc,nc73120975,2018-12-18T01:03:04.169Z,"14km NW of Petrolia, CA",earthquake,1.07,0.85,0.138,60,reviewed,nc,nc
2018-12-11T12:09:28.710Z,35.3725,-117.8563333,2.02,2.69,ml,42,40,0.1052,0.18,ci,ci38391784,2018-12-11T20:12:09.168Z,"20km W of Johannesburg, CA",earthquake,0.18,0.43,0.173,100,reviewed,ci,ci
2018-12-10T12:15:20.750Z,38.0578333,-122.2248333,8.46,2.55,md,97,82,0.01158,0.18,nc,nc73121111,2018-12-12T04:13:02.521Z,"1km WNW of Crockett, CA",earthquake,0.17,0.24,0.135,79,reviewed,nc,nc
2018-12-10T07:38:03.330Z,38.7356667,-122.7235,1.53,3.09,ml,71,48,0.01062,0.11,nc,nc73120976,2019-02-16T22:29:02.040Z,"5km SSW of Anderson Springs, CA",earthquake,0.11,0.2,0.229,41,reviewed,nc,nc
2018-12-09T13:15:04.720Z,38.7883333,-122.7295,1.78,2.71,md,69,38,0.007601,0.09,nc,nc73120756,2018-12-13T02:07:03.685Z,"3km ENE of The Geysers, CA",earthquake,0.13,0.19,0.135,44,reviewed,nc,nc
2018-12-08T22:04:04.760Z,34.2363333,-117.4473333,10.33,2.54,ml,116,20,0.02918,0.19,ci,ci38389856,2018-12-10T18:55:16.030Z,"4km WNW of Devore, CA",earthquake,0.11,0.2,0.121,170,reviewed,ci,ci
2018-12-07T07:06:47.810Z,36.6506667,-121.2736667,9.05,2.75,md,24,110,0.05163,0.14,nc,nc73119876,2018-12-13T02:22:04.783Z,"16km SSE of Tres Pinos, CA",earthquake,0.29,0.54,0.173,23,reviewed,nc,nc
2018-12-07T07:06:44.530Z,36.6555,-121.2711667,8.36,2.83,md,45,66,0.05665,0.07,nc,nc73119881,2018-12-13T01:37:03.511Z,"16km SSE of Tres Pinos, CA",earthquake,0.13,0.5,0.18,51,reviewed,nc,nc
2018-12-06T14:24:41.170Z,33.4885,-116.8036667,2.18,2.6,ml,124,22,0.02397,0.21,ci,ci38387600,2018-12-20T20:36:26.131Z,"8km NE of Aguanga, CA",earthquake,0.11,0.27,0.142,26,reviewed,ci,ci
